id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,Arsenal,ARS,5,1350,1380,1370,1370,1330,1390
2,Aston Villa,AVL,3,1120,1245,1110,1140,1130,1350
3,Bournemouth,BOU,3,1100,1100,1075,1100,1130,1105
4,Brentford,BRE,3,1100,1100,1105,1095,1100,1110
5,Brighton,BHA,3,1100,1100,1100,1105,1100,1100
6,Chelsea,CHE,3,1130,1255,1090,1180,1170,1330
7,Crystal Palace,CRY,3,1100,1165,1110,1180,1090,1155
8,Everton,EVE,3,1090,1125,1100,1175,1080,1080
9,Fulham,FUL,3,1080,1125,1070,1130,1090,1120
10,Ipswich,IPS,2,1050,1050,1050,1050,1050,1050
11,Leicester,LEI,2,1050,1060,1060,1050,1060,1050
12,Liverpool,LIV,4,1235,1370,1170,1350,1300,1390
13,Man City,MCI,5,1355,1380,1335,1370,1375,1390
14,Man Utd,MUN,3,1115,1175,1110,1120,1120,1230
15,Newcastle,NEW,4,1130,1285,1100,1185,1160,1380
16,Nott'm Forest,NFO,3,1090,1100,1085,1115,1090,1090
17,Southampton,SOU,2,1050,1050,1050,1050,1050,1050
18,Spurs,TOT,3,1165,1225,1100,1125,1230,1330
19,West Ham,WHU,3,1095,1100,1060,1100,1130,1105
20,Wolves,WOL,3,1095,1100,1075,1105,1115,1100
